Molecular_Weight,SMILES,sol_final,LogS
330.815,CCC(=O)C1=CC=C(C=C1)OCCN2C=NC3=CC=CC=C32.Cl,0.0437,-3.879103756381478
328.2390000000001,COC1=C(C(=CC(=C1)CNCC2=CC=CC=C2)Cl)OC.Cl,0.0482,-3.8331431426175713
294.742,CC1=C(C=C(C=C1)[N+](=O)[O-])NC2=NC(=CC(=N2)C)C.Cl,0.0054,-4.737048266317336
310.74100000000004,CC1=CC(=NC(=N1)NC2=C(C=C(C=C2)[N+](=O)[O-])OC)C.Cl,0.0005,-5.793428554676972
301.8139999999999,COC1=CC=C(C=C1)OCC(CNC2CCCC2)O.Cl,0.0426,-3.8503297820682225
284.19,CC1=CC(=NC(=N1)NCC2=CC=C(C=C2)Cl)C.Cl,0.0054,-4.721215032201884
263.772,CCC1=CC=C(C=C1)NC2=NC(=CC(=N2)C)C.Cl,0.0184,-4.1564108692967565
295.7849999999999,CCOC1=CC=CC=C1CNCC2=CC=C(C=C2)F.Cl,0.0438,-3.8295020355516116
284.19,CC1=CC(=NC(=N1)NC2=C(C=C(C=C2)Cl)C)C.Cl,0.0212,-4.127272931096101
249.745,CC1=CC(=CC=C1)NC2=NC(=CC(=N2)C)C.Cl,0.0201,-4.094300744806275
316.785,C1CCC(C1)NCC(COC2=CC=CC=C2[N+](=O)[O-])O.Cl,0.0462,-3.836122633688801
329.824,COC(=O)C1=CC=C(C=C1)OCC(CNC2CCCC2)O.Cl,0.0477,-3.8397638753257954
299.8419999999999,CC1=CC(=C(C=C1)OCC(CNC2CCCC2)O)C.Cl,0.0413,-3.86094241438315
270.163,CC1=CC(=NC(=N1)NC2=CC(=CC=C2)Cl)C.Cl,0.0059,-4.660773858594819
303.715,CC1=CC(=NC(=N1)NC2=CC=CC(=C2)C(F)(F)F)C.Cl,0.0018,-5.22719373645723
289.778,C1CCC(C1)NCC(COC2=CC=C(C=C2)F)O.Cl,0.0366,-3.898584325273935
344.84600000000006,CC1=C(C=C(C=C1)NC2=NC3=CC=CC=C3C(=N2)NCCO)C.Cl,0.0309,-4.047666713382356
337.2100000000001,COC1=C(C=C(C=C1)Cl)NC2=NC3=CC=CC=C3C(=N2)N.Cl,0.0053,-4.803624575593977
291.807,CC1=CC2=C(N=CN=C2S1)NCC3=CC=CC=C3.Cl,0.0417,-3.844959650763627
321.211,CC1=C(C=C(C=C1)NC2=NC3=CC=CC=C3C(=N2)N)Cl.Cl,0.0221,-4.1623981357655575
316.792,CC1=CC(=C(C=C1)OC)NC2=NC3=CC=CC=C3C(=N2)N.Cl,0.0471,-3.827753298617713
283.8279999999999,CC1=CC2=C(N=CN=C2S1)NC3CCCCC3.Cl,0.015,-4.276963977892629
297.855,CC1CCCN(C1)C2=C3C(=C(SC3=NC=N2)C)C.Cl,0.011,-4.432612209705322
301.81699999999995,CC(C(C1=CC=CC=C1)O)NCC#CC2=CC=CC=C2.Cl,0.0448,-3.8284656839936555
337.8550000000001,CCN1CCN(CC1)C2=NC3=CC=CC=C3C(=N2)NCCO.Cl,0.048,-3.8474891131647952
277.78000000000003,CC1=CC2=C(N=CN=C2S1)NC3=CC=CC=C3.Cl,0.013,-4.329757621267834
305.834,CC1=CC2=C(N=CN=C2S1)NCCC3=CC=CC=C3.Cl,0.0087,-4.545966512275783
343.254,CCOC1=C(C=C(C=C1Cl)CNCC2=CC=NC=C2)OC.Cl,0.0461,-3.8719146814595837
300.79299999999995,CC1=C(C=C(C=C1)NC2=NC3=CC=CC=C3C(=N2)N)C.Cl,0.0059,-4.70741571357285
357.2810000000001,CCOC1=C(C(=CC(=C1)CNCC2=CC=CC=N2)Cl)OCC.Cl,0.0355,-4.002781568228343
